sample,peak,sample number
1699,0,457
1698,0,458
1696,0,459
1695,0,460
1694,0,461
1694,0,462
1695,0,463
1697,0,464
1699,0,465
1703,0,466
1706,0,467
1709,0,468
1712,0,469
1714,0,470
1714,0,471
1714,0,472
1712,0,473
1710,0,474
1707,0,475
1704,0,476
1702,0,477
1701,0,478
1701,0,479
1702,0,480
1705,0,481
1709,0,482
1714,0,483
1719,0,484
1722,0,485
1724,0,486
1725,0,487
1724,0,488
1724,0,489
1723,0,490
1724,0,491
1726,0,492
1729,0,493
1733,0,494
1738,0,495
1742,0,496
1747,0,497
1751,0,498
1755,0,499
1758,0,500
1760,0,501
1761,0,502
1761,0,503
1760,0,504
1758,0,505
1756,0,506
1755,0,507
1754,0,508
1754,0,509
1756,0,510
1757,0,511
1759,0,512
1761,0,513
1763,0,514
1763,0,515
1763,0,516
1762,0,517
1761,0,518
1760,0,519
1759,0,520
1760,0,521
1760,0,522
1762,0,523
1762,0,524
1762,0,525
1760,0,526
1757,0,527
1751,0,528
1744,0,529
1736,0,530
1729,0,531
1723,0,532
1719,0,533
1715,0,534
1712,0,535
1709,0,536
1704,0,537
1698,0,538
1691,0,539
1682,0,540
1673,0,541
1663,0,542
1654,0,543
1644,0,544
1634,0,545
1624,0,546
1614,0,547
1604,0,548
1594,0,549
1585,0,550
1576,0,551
1568,0,552
1561,0,553
1555,0,554
1549,0,555
1544,0,556
1539,0,557
1535,0,558
1530,0,559
1526,0,560
1522,0,561
1518,0,562
1515,0,563
1513,0,564
1512,0,565
1510,0,566
1510,0,567
1509,0,568
1509,0,569
1509,0,570
1508,0,571
1508,0,572
1508,0,573
1509,0,574
1510,0,575
1512,0,576
1514,0,577
1517,0,578
1520,0,579
1522,0,580
1525,0,581
1526,0,582
1527,0,583
1526,0,584
1525,0,585
1523,0,586
1521,0,587
1519,0,588
1518,0,589
1518,0,590
1519,0,591
1522,0,592
1524,0,593
1528,0,594
1531,0,595
1534,0,596
1536,0,597
1539,0,598
1541,0,599
1544,0,600
1546,0,601
1547,0,602
1549,0,603
1550,0,604
1551,0,605
1551,0,606
1552,0,607
1552,0,608
1553,0,609
1553,0,610
1553,0,611
1553,0,612
1552,0,613
1552,0,614
1552,0,615
1553,0,616
1553,0,617
1554,0,618
1554,0,619
1554,0,620
1554,0,621
1554,0,622
1554,0,623
1555,0,624
1556,0,625
1557,0,626
1558,0,627
1559,0,628
1559,0,629
1559,0,630
1558,0,631
1558,0,632
1559,0,633
1560,0,634
1561,0,635
1562,0,636
1563,0,637
1563,0,638
1562,0,639
1562,0,640
1561,0,641
1560,0,642
1560,0,643
1560,0,644
1561,0,645
1563,0,646
1565,0,647
1568,0,648
1571,0,649
1573,0,650
1575,0,651
1575,0,652
1575,0,653
1574,0,654
1572,0,655
1570,0,656
1569,0,657
1569,0,658
1569,0,659
1570,0,660
1572,0,661
1573,0,662
1574,0,663
1575,0,664
1575,0,665
1574,0,666
1574,0,667
1573,0,668
1573,0,669
1573,0,670
1572,0,671
1572,0,672
1573,0,673
1573,0,674
1573,0,675
1574,0,676
1574,0,677
1575,0,678
1575,0,679
1575,0,680
1576,0,681
1576,0,682
1577,0,683
1579,0,684
1580,0,685
1581,0,686
1582,0,687
1583,0,688
1583,0,689
1583,0,690
1583,0,691
1583,0,692
1584,0,693
1584,0,694
1585,0,695
1586,0,696
1587,0,697
1589,0,698
1590,0,699
1591,0,700
1591,0,701
1591,0,702
1590,0,703
1589,0,704
1588,0,705
1587,0,706
1588,0,707
1589,0,708
1591,0,709
1594,0,710
1596,0,711
1598,0,712
1599,0,713
1599,0,714
1599,0,715
1598,0,716
1597,0,717
1597,0,718
1596,0,719
1596,0,720
1597,0,721
1597,0,722
1598,0,723
1599,0,724
1601,0,725
1603,0,726
1606,0,727
1609,0,728
1613,0,729
1617,0,730
1622,0,731
1626,0,732
1629,0,733
1631,0,734
1632,0,735
1630,0,736
1627,0,737
1624,0,738
1621,0,739
1619,0,740
1619,0,741
1621,0,742
1624,0,743
1627,0,744
1631,0,745
1634,0,746
1636,0,747
1638,0,748
1640,0,749
1643,0,750
1647,0,751
1652,0,752
1657,0,753
1663,0,754
1667,0,755
1669,0,756
1669,0,757
1667,0,758
1663,0,759
1657,0,760
1650,0,761
1645,0,762
1640,0,763
1636,0,764
1633,0,765
1625,0,766
1618,0,767
1610,0,768
1600,0,769
1590,0,770
1580,0,771
1572,0,772
1567,0,773
1565,0,774
1565,0,775
1568,0,776
1571,0,777
1575,0,778
1578,0,779
1581,0,780
1583,0,781
1584,0,782
1586,0,783
1586,0,784
1587,0,785
1588,0,786
1588,0,787
1588,0,788
1588,0,789
1589,0,790
1589,0,791
1589,0,792
1588,0,793
1587,0,794
1586,0,795
1585,0,796
1584,0,797
1584,0,798
1585,0,799
1585,0,800
1584,0,801
1581,0,802
1574,0,803
1563,0,804
1548,0,805
1532,0,806
1518,0,807
1511,0,808
1517,0,809
1543,0,810
1594,0,811
1674,0,812
1780,0,813
1908,0,814
2045,0,815
2180,0,816
2295,0,817
2378,0,818
2418,0,819
2410,1,820
2351,0,821
2248,0,822
2108,0,823
1940,0,824
1756,0,825
1566,0,826
1380,0,827
1209,0,828
1062,0,829
946,0,830
867,0,831
828,0,832
826,0,833
857,0,834
912,0,835
980,0,836
1053,0,837
1122,0,838
1182,0,839
1232,0,840
1274,0,841
1311,0,842
1346,0,843
1385,0,844
1428,0,845
1474,0,846
1523,0,847
1571,0,848
1615,0,849
1652,0,850
1680,0,851
1697,0,852
1706,0,853
1707,0,854
1703,1,855
1697,0,856
1691,0,857
1685,0,858
1681,0,859
1679,0,860
1679,0,861
1679,0,862
1681,0,863
1683,0,864
1686,0,865
1689,0,866
1691,0,867
1693,0,868
1694,0,869
1693,1,870
1692,0,871
1690,0,872
1688,0,873
1687,0,874
1686,0,875
1687,0,876
1688,0,877
1689,0,878
1692,0,879
1694,0,880
1697,0,881
1700,0,882
1704,0,883
1706,0,884
1709,0,885
1710,0,886
1711,0,887
1712,0,888
1711,1,889
1710,0,890
1709,0,891
1708,0,892
1708,0,893
1708,0,894
1708,0,895
1708,0,896
1709,0,897
1709,0,898
1710,0,899
1710,0,900
1710,0,901
1711,0,902
1711,0,903
1713,0,904
1715,0,905
1717,0,906
1720,0,907
