FIR_BP_sample,Moving_Averaged_sample,Deriv_sample,peak,sample_number
1590,2,0,0,262
1589,2,0,0,263
1589,2,0,0,264
1590,2,0,0,265
1590,2,0,0,266
1592,2,0,0,267
1593,2,0,0,268
1595,2,0,0,269
1598,2,0,0,270
1599,2,0,0,271
1600,2,0,0,272
1601,2,0,0,273
1600,2,0,0,274
1599,2,0,0,275
1598,2,0,0,276
1597,2,0,0,277
1596,2,0,0,278
1597,2,0,0,279
1598,2,0,0,280
1601,2,0,0,281
1604,2,0,0,282
1607,2,0,0,283
1609,2,0,0,284
1611,2,0,0,285
1611,2,0,0,286
1611,2,0,0,287
1609,2,0,0,288
1608,2,0,0,289
1606,2,0,0,290
1605,2,0,0,291
1604,2,0,0,292
1604,2,0,0,293
1604,2,0,0,294
1605,2,0,0,295
1607,2,0,0,296
1609,2,0,0,297
1612,2,0,0,298
1616,2,0,0,299
1622,2,0,0,300
1628,2,0,0,301
1635,2,0,0,302
1641,2,0,0,303
1647,2,0,0,304
1652,2,0,0,305
1654,2,0,0,306
1653,2,0,0,307
1650,3,0,0,308
1645,3,0,0,309
1640,3,0,0,310
1636,3,0,0,311
1634,3,0,0,312
1636,3,0,0,313
1641,3,0,0,314
1649,3,0,0,315
1656,3,0,0,316
1661,3,0,0,317
1661,3,0,0,318
1656,3,0,0,319
1644,3,0,0,320
1628,3,0,0,321
1610,3,0,0,322
1591,3,0,0,323
1576,3,0,0,324
1565,3,-1,0,325
1560,3,-1,0,326
1560,3,-1,0,327
1565,3,-1,0,328
1572,3,-1,0,329
1580,3,-1,0,330
1588,3,-1,0,331
1594,3,-1,0,332
1598,2,-1,0,333
1600,2,-1,0,334
1601,2,-2,0,335
1600,2,-2,0,336
1598,2,-2,0,337
1595,2,-1,0,338
1592,2,-1,0,339
1588,2,-1,0,340
1586,2,-1,0,341
1584,1,-1,0,342
1583,1,-1,0,343
1584,1,-1,0,344
1586,1,-1,0,345
1589,1,-1,0,346
1592,1,-1,0,347
1594,1,-1,0,348
1596,1,0,0,349
1596,1,0,0,350
1594,1,-1,0,351
1592,0,-1,0,352
1588,0,0,0,353
1585,0,0,0,354
1582,1,0,0,355
1581,1,0,0,356
1582,1,0,0,357
1584,1,0,0,358
1588,1,0,0,359
1593,2,0,0,360
1598,2,0,0,361
1602,2,0,0,362
1604,2,0,0,363
1606,2,0,0,364
1605,2,1,0,365
1604,3,1,0,366
1603,3,1,0,367
1601,2,2,0,368
1601,2,3,0,369
1601,3,4,0,370
1602,3,6,0,371
1604,3,8,0,372
1606,3,10,0,373
1609,3,11,0,374
1612,3,13,0,375
1615,4,13,0,376
1619,4,13,0,377
1622,4,13,0,378
1627,4,14,0,379
1631,4,16,0,380
1635,4,21,0,381
1639,4,28,0,382
1641,4,39,0,383
1642,5,54,0,384
1642,7,71,0,385
1640,10,91,0,386
1638,13,110,0,387
1636,17,129,0,388
1633,22,144,0,389
1632,27,156,0,390
1631,31,164,0,391
1630,34,168,0,392
1629,35,169,0,393
1630,35,169,0,394
1631,35,170,0,395
1635,37,174,0,396
1639,42,183,0,397
1646,54,199,0,398
1655,73,221,0,399
1666,102,254,0,400
1676,138,294,0,401
1686,182,339,0,402
1695,231,389,0,403
1701,279,440,0,404
1704,325,489,0,405
1705,364,533,0,406
1703,394,571,0,407
1699,414,601,0,408
1695,423,622,0,409
1689,426,635,0,410
1682,426,641,0,411
1674,429,641,0,412
1655,461,638,0,413
1643,501,640,0,414
1629,559,648,0,415
1615,640,663,0,416
1600,740,686,0,417
1586,854,716,0,418
1575,978,751,0,419
1566,1106,788,0,420
1562,1227,825,0,421
1560,1339,859,0,422
1562,1435,889,0,423
1566,1511,913,0,424
1571,1566,931,0,425
1576,1601,943,0,426
1581,1620,950,0,427
1585,1626,953,0,428
1588,1626,954,0,429
1589,1628,953,0,430
1590,1636,954,0,431
1592,1657,954,0,432
1594,1695,954,0,433
1596,1752,953,0,434
1600,1828,950,0,435
1603,1920,943,0,436
1607,2025,932,0,437
1609,2137,915,0,438
1609,2251,892,0,439
1607,2363,861,0,440
1603,2467,826,0,441
1597,2561,787,0,442
1589,2639,746,0,443
1582,2701,707,0,444
1575,2748,670,0,445
1570,2780,638,0,446
1567,2799,613,0,447
1564,2809,595,0,448
1560,2812,585,0,449
1552,2812,580,0,450
1538,2812,580,0,451
1518,2815,580,0,452
1492,2821,578,0,453
1465,2833,570,0,454
1442,2849,554,0,455
1431,2871,527,0,456
1443,2895,490,0,457
1487,2920,442,0,458
1569,2946,386,0,459
1692,2972,325,0,460
1854,2995,262,0,461
2044,3015,201,0,462
2248,3031,144,0,463
2447,3045,95,0,464
2620,3056,53,0,465
2747,3065,21,0,466
2813,3072,-4,0,467
2806,3077,-24,0,468
2723,3078,-40,1,469
2568,3074,-57,1,470
2352,3063,-76,0,471
2090,3043,-101,0,472
1800,3015,-133,0,473
1504,2978,-173,0,474
1220,2935,-220,0,475
966,2886,-272,0,476
758,2838,-327,0,477
603,2793,-382,0,478
508,2754,-436,0,479
471,2725,-483,0,480
486,2705,-524,0,481
543,2696,-556,0,482
630,2693,-581,0,483
734,2693,-597,0,484
841,2690,-608,0,485
942,2681,-614,0,486
1031,2658,-620,0,487
1105,2619,-628,0,488
1167,2560,-640,0,489
1222,2480,-657,0,490
1274,2381,-682,0,491
1330,2267,-712,0,492
1392,2143,-747,0,493
1461,2016,-784,0,494
1534,1895,-820,0,495
1607,1783,-854,0,496
1675,1688,-884,0,497
1731,1612,-908,0,498
1773,1556,-925,0,499
1799,1521,-937,0,500
1808,1503,-944,0,501
1804,1496,-947,0,502
1790,1496,-948,0,503
1772,1495,-948,0,504
1752,1488,-948,0,505
1735,1467,-948,0,506
1723,1430,-949,0,507
1716,1374,-948,0,508
1714,1300,-945,0,509
1715,1208,-938,0,510
1718,1105,-927,0,511
1721,994,-910,0,512
1724,881,-887,0,513
1726,770,-857,0,514
1726,666,-823,0,515
1725,574,-784,0,516
1725,496,-745,0,517
1724,434,-708,0,518
1725,387,-673,0,519
1726,355,-644,0,520
1729,336,-620,0,521
1732,326,-603,0,522
1734,323,-594,0,523
1736,322,-589,0,524
1737,322,-588,0,525
1737,320,-589,0,526
1735,313,-589,0,527
1732,302,-587,0,528
1729,285,-578,0,529
1726,263,-564,0,530
1724,239,-541,0,531
1722,211,-512,0,532
1722,183,-475,0,533
1724,154,-434,0,534
1727,127,-389,0,535
1731,102,-344,0,536
1736,80,-300,0,537
1741,63,-258,0,538
1746,49,-221,0,539
1750,38,-190,0,540
1752,31,-165,0,541
1753,27,-146,0,542
1752,24,-133,0,543
1749,23,-125,0,544
1745,22,-121,0,545
1740,22,-120,0,546
1735,22,-119,0,547
1732,22,-119,0,548
1730,22,-118,0,549
1730,22,-116,0,550
1732,22,-111,0,551
1737,22,-104,0,552
1742,22,-96,0,553
1749,22,-86,0,554
1754,22,-75,0,555
1759,22,-64,0,556
1761,22,-52,0,557
1762,23,-42,0,558
1762,23,-32,0,559
1761,24,-23,0,560
1760,24,-16,0,561
1761,25,-11,0,562
1762,25,-7,0,563
1766,25,-4,0,564
1771,25,-3,0,565
1778,25,-2,0,566
1785,25,-2,0,567
1793,25,-2,0,568
1800,25,-3,0,569
1805,24,-3,0,570
1809,24,-3,0,571
1812,24,-4,0,572
1812,24,-4,0,573
1811,24,-4,0,574
1809,24,-4,0,575
1806,24,-4,0,576
1803,24,-4,0,577
1801,24,-4,0,578
1800,23,-4,0,579
1800,22,-4,0,580
1802,22,-4,0,581
1804,21,-4,0,582
1807,20,-4,0,583
1810,19,-4,0,584
1812,18,-5,0,585
1813,16,-5,0,586
1813,15,-5,0,587
1812,15,-5,0,588
1811,14,-5,0,589
1811,14,-5,0,590
1811,14,-5,0,591
1812,14,-5,0,592
1813,14,-4,0,593
1815,14,-4,0,594
1816,14,-4,0,595
1815,14,-4,0,596
1813,14,-4,0,597
1808,14,-4,0,598
1802,14,-5,0,599
1794,14,-5,0,600
1785,14,-5,0,601
1777,14,-4,0,602
1769,14,-4,0,603
1763,14,-4,0,604
1758,14,-4,0,605
1753,14,-3,0,606
1749,14,-3,0,607
1744,14,-2,0,608
1737,14,-2,0,609
1729,14,-2,0,610
1719,14,-2,0,611
1707,14,-2,0,612
1695,14,-2,0,613
1681,14,-2,0,614
1667,14,-2,0,615
1653,13,-2,0,616
1639,13,-2,0,617
1625,13,-3,0,618
1612,13,-3,0,619
1599,13,-3,0,620
1587,13,-3,0,621
1576,13,-3,0,622
1565,13,-4,0,623
1556,13,-4,0,624
1548,13,-4,0,625
1541,12,-4,0,626
1535,12,-4,0,627
1529,12,-4,0,628
1523,11,-4,0,629
1518,11,-4,0,630
1513,10,-4,0,631
1508,10,-4,0,632
1504,9,-4,0,633
1500,9,-4,0,634
1497,8,-4,0,635
1496,8,-4,0,636
1494,7,-4,0,637
1494,7,-4,0,638
1493,7,-4,0,639
1493,6,-4,0,640
1493,6,-4,0,641
1493,6,-4,0,642
1493,5,-4,0,643
1493,5,-5,0,644
1495,5,-5,0,645
1497,5,-5,0,646
1500,5,-5,0,647
1504,5,-5,0,648
1508,5,-5,0,649
1513,5,-5,0,650
1517,5,-5,0,651
1520,5,-5,0,652
1522,5,-5,0,653
1522,5,-4,0,654
1521,4,-4,0,655
1518,4,-4,0,656
1515,4,-4,0,657
1511,3,-4,0,658
1508,3,-4,0,659
1506,3,-3,0,660
1506,2,-3,0,661
1507,2,-3,0,662
1510,2,-3,0,663
1514,1,-3,0,664
1518,1,-3,0,665
1523,1,-2,0,666
1528,1,-2,0,667
1532,0,-2,0,668
1536,0,-2,0,669
1540,0,-2,0,670
1543,0,-2,0,671
1545,0,-2,0,672
1547,0,-2,0,673
1549,0,-2,0,674
1550,0,-2,0,675
1552,0,-2,0,676
1552,0,-2,0,677
1553,0,-2,0,678
1553,0,-2,0,679
1553,0,-2,0,680
1553,0,-2,0,681
1553,0,-2,0,682
1552,0,-2,0,683
1552,0,-1,0,684
1552,0,-1,0,685
1553,0,-1,0,686
1553,0,-1,0,687
1553,0,-1,0,688
1553,0,-1,0,689
1553,0,-1,0,690
1553,0,0,0,691
1554,0,0,0,692
1554,0,0,0,693
1554,0,0,0,694
1555,0,0,0,695
1556,0,0,0,696
1558,0,0,0,697
1559,0,0,0,698
1560,0,0,0,699
1561,0,0,0,700
1561,0,0,0,701
1561,0,0,0,702
1561,0,0,0,703
1562,0,0,0,704
1562,0,0,0,705
1563,0,0,0,706
1564,0,0,0,707
1565,0,0,0,708
1565,0,0,0,709
1564,0,0,0,710
1563,0,0,0,711
1562,0,0,0,712
1561,0,0,0,713
1560,0,0,0,714
1560,0,0,0,715
1562,0,0,0,716
1564,0,0,0,717
1568,0,0,0,718
1572,0,0,0,719
1576,0,0,0,720
1579,0,0,0,721
1581,0,0,0,722
1582,0,0,0,723
1581,0,0,0,724
1579,0,0,0,725
1577,0,0,0,726
1574,0,0,0,727
1573,0,0,0,728
1572,0,0,0,729
1572,0,0,0,730
1574,0,0,0,731
1575,0,0,0,732
1577,0,0,0,733
1579,0,0,0,734
1580,0,0,0,735
1581,0,0,0,736
1580,0,0,0,737
1579,0,0,0,738
1578,0,0,0,739
1577,0,0,0,740
1576,0,0,0,741
1576,0,0,0,742
1576,0,0,0,743
1576,0,0,0,744
1577,0,0,0,745
1577,0,0,0,746
1578,0,0,0,747
1578,0,0,0,748
1579,0,0,0,749
1579,0,0,0,750
1580,0,0,0,751
1580,0,0,0,752
1581,0,0,0,753
1582,0,0,0,754
1584,0,0,0,755
1585,0,0,0,756
1587,0,0,0,757
1588,0,0,0,758
1589,0,0,0,759
1589,0,0,0,760
1589,0,0,0,761
1589,0,0,0,762
1590,0,0,0,763
1590,0,1,0,764
1591,0,1,0,765
1593,0,1,0,766
1594,0,1,0,767
1596,0,1,0,768
1598,0,1,0,769
1600,0,1,0,770
1600,0,1,0,771
1600,0,1,0,772
1599,1,2,0,773
1597,1,2,0,774
1596,1,2,0,775
1595,1,2,0,776
1594,1,2,0,777
1595,2,2,0,778
1597,2,2,0,779
1599,2,2,0,780
1602,3,2,0,781
1605,3,2,0,782
1608,3,2,0,783
1609,4,2,0,784
1610,4,2,0,785
1610,4,2,0,786
1608,5,2,0,787
1607,5,2,0,788
1606,5,2,0,789
1605,6,2,0,790
1604,6,2,0,791
1604,6,2,0,792
1605,6,2,0,793
1605,6,2,0,794
1607,6,2,0,795
1609,6,1,0,796
1612,6,1,0,797
1616,6,1,0,798
1621,6,1,0,799
1627,6,1,0,800
1634,6,1,0,801
1640,6,1,0,802
1646,6,1,0,803
1651,6,1,0,804
1653,6,1,0,805
1653,6,1,0,806
1650,6,1,0,807
1645,6,1,0,808
1640,6,1,0,809
1636,6,1,0,810
1635,6,1,0,811
1637,6,1,0,812
1642,6,0,0,813
1649,6,1,0,814
1656,6,1,0,815
1660,6,1,0,816
1660,6,1,0,817
1654,6,1,0,818
1643,6,1,0,819
1627,7,1,0,820
1608,7,1,0,821
1590,7,1,0,822
1575,7,1,0,823
1565,7,1,0,824
1561,8,1,0,825
1561,8,1,0,826
1566,8,1,0,827
1573,8,1,0,828
1580,8,1,0,829
1587,8,1,0,830
1593,9,0,0,831
1597,9,0,0,832
1599,9,0,0,833
1600,9,0,0,834
1599,9,0,0,835
1597,9,0,0,836
1595,9,0,0,837
1592,9,0,0,838
1588,9,0,0,839
1586,9,0,0,840
1584,9,0,0,841
1583,9,0,0,842
1584,9,-1,0,843
1586,9,-1,0,844
1589,9,-1,0,845
1592,9,-1,0,846
1594,9,-1,0,847
1595,8,-2,0,848
1595,8,-2,0,849
1594,8,-2,0,850
1591,8,-2,0,851
1587,8,-2,0,852
1584,7,-2,0,853
1581,7,-2,0,854
1581,7,-2,0,855
1582,7,-1,0,856
1584,6,-1,0,857
1588,6,0,0,858
1593,6,0,0,859
1598,6,0,0,860
1601,6,0,0,861
1604,5,0,0,862
1605,5,1,0,863
1604,5,1,0,864
1603,5,1,0,865
1602,5,1,0,866
1601,5,1,0,867
1601,5,2,0,868
1602,5,3,0,869
1603,5,5,0,870
1605,6,7,0,871
1607,6,9,0,872
1610,7,10,0,873
1612,8,11,0,874
1615,9,12,0,875
1619,10,12,0,876
1622,10,12,0,877
1627,11,13,0,878
1631,11,15,0,879
1635,12,20,0,880
1639,12,27,0,881
1641,12,38,0,882
1642,12,52,0,883
1641,13,69,0,884
1640,15,88,0,885
1638,18,107,0,886
1636,22,124,0,887
1634,27,139,0,888
1633,31,151,0,889
1632,35,158,0,890
1631,37,161,0,891
1631,39,162,0,892
1631,39,162,0,893
1632,39,163,0,894
1635,40,167,0,895
1640,46,177,0,896
1647,57,194,0,897
1656,75,218,0,898
1666,102,252,0,899
1677,137,293,0,900
1687,179,341,0,901
1696,226,393,0,902
1702,273,445,0,903
1705,317,496,0,904
1705,354,543,0,905
1703,383,583,0,906
1699,401,615,0,907
1693,410,637,0,908
1687,412,650,0,909
1680,412,656,0,910
1673,415,656,0,911
1654,451,654,0,912
1643,494,656,0,913
1630,556,664,0,914
1616,641,679,0,915
1601,745,702,0,916
1588,865,732,0,917
1576,994,767,0,918
1568,1127,805,0,919
1562,1254,844,0,920
1561,1371,880,0,921
1562,1471,911,0,922
1566,1551,937,0,923
1571,1608,957,0,924
1577,1644,970,0,925
1582,1663,978,0,926
1586,1669,982,0,927
1589,1670,984,0,928
1590,1671,985,0,929
1591,1679,985,0,930
1592,1701,985,0,931
1594,1739,985,0,932
1596,1796,984,0,933
1600,1871,980,0,934
1603,1964,973,0,935
1606,2071,961,0,936
1608,2186,943,0,937
1608,2303,918,0,938
1607,2417,886,0,939
1602,2524,849,0,940
1597,2619,809,0,941
1590,2699,767,0,942
1583,2763,725,0,943
1578,2811,687,0,944
1573,2844,655,0,945
1570,2864,629,0,946
1567,2874,611,0,947
1563,2877,600,0,948
1554,2876,595,0,949
1541,2876,594,0,950
1520,2878,594,0,951
1495,2885,592,0,952
1467,2897,585,0,953
1443,2914,568,0,954
1433,2937,542,0,955
1445,2962,505,0,956
1489,2990,459,0,957
1573,3018,403,0,958
1699,3045,341,0,959
1863,3069,278,0,960
2055,3091,216,0,961
2259,3109,159,0,962
2456,3124,109,0,963
2625,3136,68,0,964
2746,3145,35,0,965
2805,3152,9,0,966
2792,3156,-11,0,967
2706,3157,-28,0,968
2553,3153,-46,0,969
2341,3142,-68,0,970
