#Digilent WaveForms Logic Analyzer Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321AA2ABB
#Date Time: 2024-08-13 19:46:20.655
#Sample rate: 500Hz
#Samples: 4096

Time (s),Data,DV,MISO,MOSI,SCK
-2.108,2405,1,1,0,1
-2.106,2436,1,1,0,1
-2.104,2449,1,1,0,1
-2.102,2466,1,1,0,1
-2.1,2502,1,1,0,1
-2.098,2565,1,1,0,1
-2.096,2643,1,1,0,1
-2.094,2724,1,1,0,1
-2.092,2786,1,1,0,1
-2.09,2827,1,1,0,1
-2.088,2847,1,1,0,1
-2.086,2855,1,1,0,1
-2.084,2861,1,1,0,1
-2.082,2866,1,1,0,1
-2.08,2860,1,1,0,1
-2.078,2837,1,1,0,1
-2.076,2779,1,1,0,1
-2.074,2675,1,1,0,1
-2.072,2526,1,1,0,1
-2.07,2359,1,1,0,1
-2.068,2199,1,1,0,1
-2.066,2077,1,1,0,1
-2.064,1999,1,1,0,1
-2.062,1982,1,1,0,1
-2.06,2027,1,1,0,1
-2.058,2098,1,1,0,1
-2.056,2142,1,1,0,1
-2.054,2158,1,1,0,1
-2.052,2167,1,1,0,1
-2.05,2197,1,1,0,1
-2.048,2255,1,1,0,1
-2.046,2331,1,1,0,1
-2.044,2403,1,1,0,1
-2.042,2452,1,1,0,1
-2.04,2469,1,1,0,1
-2.038,2450,1,1,0,1
-2.036,2413,1,1,0,1
-2.034,2379,1,1,0,1
-2.032,2378,1,1,0,1
-2.03,2418,1,1,0,1
-2.028,2487,1,1,0,1
-2.026,2558,1,1,0,1
-2.024,2614,1,1,0,1
-2.022,2641,1,1,0,1
-2.02,2645,1,1,0,1
-2.018,2645,1,1,0,1
-2.016,2639,1,1,0,1
-2.014,2631,1,1,0,1
-2.012,2621,1,1,0,1
-2.01,2597,1,1,0,1
-2.008,2549,1,1,0,1
-2.006,2471,1,1,0,1
-2.004,2373,1,1,0,1
-2.002,2282,1,1,0,1
-2,2221,1,1,0,1
-1.998,2197,1,1,0,1
-1.996,2211,1,1,0,1
-1.994,2246,1,1,0,1
-1.992,2279,1,1,0,1
-1.99,2309,1,1,0,1
-1.988,2330,1,1,0,1
-1.986,2351,1,1,0,1
-1.984,2391,1,1,0,1
-1.982,2457,1,1,0,1
-1.98,2550,1,1,0,1
-1.978,2663,1,1,0,1
-1.976,2770,1,1,0,1
-1.974,2857,1,1,0,1
-1.972,2909,1,1,0,1
-1.97,2931,1,1,0,1
-1.968,2923,1,1,0,1
-1.966,2891,1,1,0,1
-1.964,2835,1,1,0,1
-1.962,2770,1,1,0,1
-1.96,2711,1,1,0,1
-1.958,2671,1,1,0,1
-1.956,2615,1,1,0,1
-1.954,2514,1,1,0,1
-1.952,2427,1,1,0,1
-1.95,2395,1,1,0,1
-1.948,2398,1,1,0,1
-1.946,2418,1,1,0,1
-1.944,2429,1,1,0,1
-1.942,2411,1,1,0,1
