#Digilent WaveForms Logic Analyzer Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321AA2ABB
#Date Time: 2024-08-13 19:42:37.619
#Sample rate: 500Hz
#Samples: 4096

Time (s),Data,DV,MISO,MOSI,SCK
-2.108,2803,1,1,0,1
-2.106,2914,1,1,0,1
-2.104,2685,1,1,0,1
-2.102,2262,1,1,0,1
-2.1,1957,1,1,0,1
-2.098,1867,1,1,0,1
-2.096,2028,1,1,0,1
-2.094,2394,1,1,0,1
-2.092,2747,1,1,0,1
-2.09,2957,1,1,0,1
-2.088,2855,1,1,0,1
-2.086,2470,1,1,0,1
-2.084,2107,1,1,0,1
-2.082,1941,1,1,0,1
-2.08,2008,1,1,0,1
-2.078,2322,1,1,0,1
-2.076,2686,1,1,0,1
-2.074,2949,1,1,0,1
-2.072,2950,1,1,0,1
-2.07,2622,1,1,0,1
-2.068,2206,1,1,0,1
-2.066,1962,1,1,0,1
-2.064,1935,1,1,0,1
-2.062,2169,1,1,0,1
-2.06,2535,1,1,0,1
-2.058,2838,1,1,0,1
-2.056,2935,1,1,0,1
-2.054,2701,1,1,0,1
-2.052,2267,1,1,0,1
-2.05,1950,1,1,0,1
-2.048,1845,1,1,0,1
-2.046,1990,1,1,0,1
-2.044,2341,1,1,0,1
-2.042,2677,1,1,0,1
-2.04,2869,1,1,0,1
-2.038,2747,1,1,0,1
-2.036,2345,1,1,0,1
-2.034,1963,1,1,0,1
-2.032,1783,1,1,0,1
-2.03,1835,1,1,0,1
-2.028,2131,1,1,0,1
-2.026,2478,1,1,0,1
-2.024,2727,1,1,0,1
-2.022,2713,1,1,0,1
-2.02,2365,1,1,0,1
-2.018,1917,1,1,0,1
-2.016,1634,1,1,0,1
-2.014,1566,1,1,0,1
-2.012,1765,1,1,0,1
-2.01,2106,1,1,0,1
-2.008,2401,1,1,0,1
-2.006,2508,1,1,0,1
-2.004,2281,1,1,0,1
-2.002,1852,1,1,0,1
-2,1538,1,1,0,1
-1.998,1428,1,1,0,1
-1.996,1565,1,1,0,1
-1.994,1900,1,1,0,1
-1.992,2221,1,1,0,1
-1.99,2389,1,1,0,1
-1.988,2239,1,1,0,1
-1.986,1809,1,1,0,1
-1.984,1409,1,1,0,1
-1.982,1213,1,1,0,1
-1.98,1255,1,1,0,1
-1.978,1550,1,1,0,1
-1.976,1903,1,1,0,1
-1.974,2161,1,1,0,1
-1.972,2155,1,1,0,1
-1.97,1825,1,1,0,1
-1.968,1407,1,1,0,1
-1.966,1163,1,1,0,1
-1.964,1139,1,1,0,1
-1.962,1381,1,1,0,1
-1.96,1762,1,1,0,1
-1.958,2087,1,1,0,1
-1.956,2212,1,1,0,1
-1.954,1999,1,1,0,1
-1.952,1583,1,1,0,1
-1.95,1273,1,1,0,1
-1.948,1169,1,1,0,1
-1.946,1314,1,1,0,1
-1.944,1667,1,1,0,1
-1.942,2013,1,1,0,1
-1.94,2223,1,1,0,1
-1.938,2125,1,1,0,1
-1.936,1742,1,1,0,1
-1.934,1389,1,1,0,1
-1.932,1235,1,1,0,1
-1.93,1316,1,1,0,1
-1.928,1643,1,1,0,1
-1.926,2021,1,1,0,1
-1.924,2291,1,1,0,1
-1.922,2291,1,1,0,1
-1.92,1958,1,1,0,1
-1.918,1535,1,1,0,1
-1.916,1291,1,1,0,1
-1.914,1268,1,1,0,1
-1.912,1507,1,1,0,1
-1.91,1875,1,1,0,1
-1.908,2179,1,1,0,1
-1.906,2279,1,1,0,1
-1.904,2046,1,1,0,1
-1.902,1625,1,1,0,1
-1.9,1326,1,1,0,1
-1.898,1251,1,1,0,1
-1.896,1437,1,1,0,1
-1.894,1827,1,1,0,1
-1.892,2204,1,1,0,1
-1.89,2427,1,1,0,1
-1.888,2329,1,1,0,1
-1.886,1939,1,1,0,1
-1.884,1569,1,1,0,1
-1.882,1392,1,1,0,1
-1.88,1446,1,1,0,1
-1.878,1747,1,1,0,1
-1.876,2105,1,1,0,1
-1.874,2365,1,1,0,1
-1.872,2365,1,1,0,1
-1.87,2037,1,1,0,1
-1.868,1624,1,1,0,1
-1.866,1387,1,1,0,1
-1.864,1372,1,1,0,1
-1.862,1614,1,1,0,1
-1.86,1987,1,1,0,1
-1.858,2298,1,1,0,1
-1.856,2403,1,1,0,1
-1.854,2166,1,1,0,1
-1.852,1731,1,1,0,1
-1.85,1418,1,1,0,1
-1.848,1321,1,1,0,1
-1.846,1479,1,1,0,1
-1.844,1843,1,1,0,1
-1.842,2196,1,1,0,1
-1.84,2393,1,1,0,1
-1.838,2267,1,1,0,1
-1.836,1855,1,1,0,1
-1.834,1468,1,1,0,1
-1.832,1289,1,1,0,1
-1.83,1350,1,1,0,1
-1.828,1667,1,1,0,1
-1.826,2042,1,1,0,1
-1.824,2323,1,1,0,1
-1.822,2341,1,1,0,1
-1.82,2027,1,1,0,1
-1.818,1624,1,1,0,1
-1.816,1395,1,1,0,1
-1.814,1389,1,1,0,1
-1.812,1646,1,1,0,1
-1.81,2031,1,1,0,1
-1.808,2355,1,1,0,1
-1.806,2467,1,1,0,1
-1.804,2234,1,1,0,1
-1.802,1801,1,1,0,1
-1.8,1485,1,1,0,1
-1.798,1379,1,1,0,1
-1.796,1523,1,1,0,1
-1.794,1870,1,1,0,1
-1.792,2202,1,1,0,1
-1.79,2386,1,1,0,1
-1.788,2263,1,1,0,1
-1.786,1869,1,1,0,1
-1.784,1513,1,1,0,1
-1.782,1367,1,1,0,1
-1.78,1461,1,1,0,1
-1.778,1803,1,1,0,1
-1.776,2197,1,1,0,1
-1.774,2484,1,1,0,1
-1.772,2499,1,1,0,1
-1.77,2175,1,1,0,1
-1.768,1763,1,1,0,1
-1.766,1519,1,1,0,1
-1.764,1494,1,1,0,1
-1.762,1724,1,1,0,1
-1.76,2086,1,1,0,1
-1.758,2383,1,1,0,1
-1.756,2478,1,1,0,1
-1.754,2237,1,1,0,1
-1.752,1802,1,1,0,1
-1.75,1491,1,1,0,1
-1.748,1393,1,1,0,1
-1.746,1550,1,1,0,1
-1.744,1909,1,1,0,1
-1.742,2258,1,1,0,1
-1.74,2459,1,1,0,1
-1.738,2348,1,1,0,1
-1.736,1956,1,1,0,1
-1.734,1591,1,1,0,1
-1.732,1427,1,1,0,1
-1.73,1496,1,1,0,1
-1.728,1810,1,1,0,1
-1.726,2175,1,1,0,1
-1.724,2439,1,1,0,1
-1.722,2437,1,1,0,1
-1.72,2106,1,1,0,1
-1.718,1692,1,1,0,1
-1.716,1453,1,1,0,1
-1.714,1435,1,1,0,1
-1.712,1683,1,1,0,1
-1.71,2059,1,1,0,1
-1.708,2371,1,1,0,1
-1.706,2475,1,1,0,1
-1.704,2242,1,1,0,1
-1.702,1810,1,1,0,1
-1.7,1497,1,1,0,1
-1.698,1397,1,1,0,1
-1.696,1550,1,1,0,1
-1.694,1909,1,1,0,1
-1.692,2253,1,1,0,1
-1.69,2447,1,1,0,1
-1.688,2330,1,1,0,1
-1.686,1938,1,1,0,1
-1.684,1583,1,1,0,1
-1.682,1437,1,1,0,1
-1.68,1530,1,1,0,1
-1.678,1874,1,1,0,1
-1.676,2267,1,1,0,1
-1.674,2550,1,1,0,1
-1.672,2563,1,1,0,1
-1.67,2235,1,1,0,1
-1.668,1817,1,1,0,1
-1.666,1570,1,1,0,1
-1.664,1541,1,1,0,1
-1.662,1771,1,1,0,1
-1.66,2135,1,1,0,1
-1.658,2438,1,1,0,1
-1.656,2537,1,1,0,1
-1.654,2298,1,1,0,1
-1.652,1866,1,1,0,1
-1.65,1554,1,1,0,1
-1.648,1454,1,1,0,1
-1.646,1610,1,1,0,1
-1.644,1969,1,1,0,1
-1.642,2318,1,1,0,1
-1.64,2519,1,1,0,1
-1.638,2407,1,1,0,1
-1.636,2010,1,1,0,1
-1.634,1642,1,1,0,1
-1.632,1473,1,1,0,1
-1.63,1541,1,1,0,1
-1.628,1857,1,1,0,1
-1.626,2229,1,1,0,1
-1.624,2498,1,1,0,1
-1.622,2499,1,1,0,1
-1.62,2169,1,1,0,1
-1.618,1757,1,1,0,1
-1.616,1521,1,1,0,1
-1.614,1505,1,1,0,1
-1.612,1749,1,1,0,1
-1.61,2121,1,1,0,1
-1.608,2426,1,1,0,1
-1.606,2523,1,1,0,1
-1.604,2279,1,1,0,1
-1.602,1845,1,1,0,1
-1.6,1533,1,1,0,1
-1.598,1434,1,1,0,1
-1.596,1589,1,1,0,1
-1.594,1943,1,1,0,1
-1.592,2287,1,1,0,1
-1.59,2489,1,1,0,1
-1.588,2389,1,1,0,1
-1.586,2020,1,1,0,1
-1.584,1689,1,1,0,1
-1.582,1558,1,1,0,1
-1.58,1655,1,1,0,1
-1.578,1991,1,1,0,1
-1.576,2374,1,1,0,1
-1.574,2645,1,1,0,1
-1.572,2641,1,1,0,1
-1.57,2301,1,1,0,1
-1.568,1874,1,1,0,1
-1.566,1617,1,1,0,1
-1.564,1579,1,1,0,1
-1.562,1803,1,1,0,1
-1.56,2163,1,1,0,1
-1.558,2466,1,1,0,1
-1.556,2569,1,1,0,1
-1.554,2333,1,1,0,1
-1.552,1906,1,1,0,1
-1.55,1602,1,1,0,1
-1.548,1508,1,1,0,1
-1.546,1667,1,1,0,1
-1.544,2026,1,1,0,1
-1.542,2375,1,1,0,1
-1.54,2578,1,1,0,1
-1.538,2467,1,1,0,1
-1.536,2079,1,1,0,1
