#Digilent WaveForms Logic Analyzer Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321AA2ABB
#Date Time: 2024-08-13 19:39:39.188
#Sample rate: 511.999Hz
#Samples: 4096

Time (s),Data,DV,MISO,MOSI,SCK
-2.06445841,1959,1,1,0,1
-2.06250528,1955,1,1,0,1
-2.06055215,1953,1,1,0,1
-2.05859902,1951,1,1,0,1
-2.05664589,1951,1,1,0,1
-2.05469276,1955,1,1,0,1
-2.05273963,1956,1,1,0,1
-2.0507865,1955,1,1,0,1
-2.04883337,1951,1,1,0,1
-2.04688024,1951,1,1,0,1
-2.04492711,1951,1,1,0,1
-2.04297398,1951,1,1,0,1
-2.04102085,1953,1,1,0,1
-2.03906772,1957,1,1,0,1
-2.03711459,1963,1,1,0,1
-2.03516146,1971,1,1,0,1
-2.03320833,1972,1,1,0,1
-2.0312552,1973,1,1,0,1
-2.02930207,1971,1,1,0,1
-2.02734894,1952,0,1,0,0
-2.02539581,1024,0,1,0,0
-2.02344268,0,0,1,1,0
-2.02148955,1967,1,1,0,1
-2.01953642,1973,1,1,0,1
-2.01758329,1978,1,1,0,1
-2.01563016,1983,1,1,0,1
-2.01367703,1986,1,1,0,1
-2.0117239,1987,1,1,0,1
-2.00977077,1989,1,1,0,1
-2.00781764,1990,1,1,0,1
-2.00586451,1991,1,1,0,1
-2.00391138,1995,1,1,0,1
-2.00195825,1997,1,1,0,1
-2.00000512,2001,1,1,0,1
-1.99805199,2005,1,1,0,1
-1.99609886,2009,1,1,0,1
-1.99414573,2011,1,1,0,1
-1.9921926,2014,1,1,0,1
-1.99023947,2021,1,1,0,1
-1.98828634,2027,1,1,0,1
-1.98633321,2037,1,1,0,1
-1.98438008,2045,1,1,0,1
-1.98242695,2055,1,1,0,1
-1.98047382,2060,1,1,0,1
-1.97852069,2063,1,1,0,1
-1.97656756,2069,1,1,0,1
-1.97461443,2077,1,1,0,1
-1.9726613,2086,1,1,0,1
-1.97070817,2093,1,1,0,1
-1.96875504,2100,1,1,0,1
-1.96680191,2107,1,1,0,1
-1.96484878,2111,1,1,0,1
-1.96289565,2116,1,1,0,1
-1.96094252,2121,1,1,0,1
-1.95898939,2127,1,1,0,1
-1.95703626,2133,1,1,0,1
-1.95508313,2138,1,1,0,1
-1.95313,2138,1,1,0,1
-1.95117687,2141,1,1,0,1
-1.94922374,2145,1,1,0,1
-1.94727061,2150,1,1,0,1
-1.94531748,2152,0,0,0,0
-1.94336435,2048,0,1,0,0
-1.94141122,0,0,1,0,0
-1.93945809,0,0,1,1,0
-1.93750496,2166,1,1,0,1
-1.93555183,2173,1,1,0,1
-1.9335987,2179,1,1,0,1
-1.93164557,2183,1,1,0,1
-1.92969244,2189,1,1,0,1
-1.92773931,2195,1,1,0,1
-1.92578618,2203,1,1,0,1
-1.92383305,2217,1,1,0,1
-1.92187992,2235,1,1,0,1
-1.91992679,2254,1,1,0,1
-1.91797366,2268,1,1,0,1
-1.91602053,2277,1,1,0,1
-1.9140674,2278,1,1,0,1
-1.91211427,2275,1,1,0,1
-1.91016114,2265,1,1,0,1
-1.90820801,2254,1,1,0,1
-1.90625488,2242,1,1,0,1
-1.90430175,2229,1,1,0,1
-1.90234862,2215,1,1,0,1
-1.90039549,2196,1,1,0,1
-1.89844236,2174,1,1,0,1
-1.89648923,2153,1,1,0,1
-1.8945361,2131,1,1,0,1
-1.89258297,2106,1,1,0,1
