#Digilent WaveForms Logic Analyzer Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321AA2ABB
#Date Time: 2024-08-13 19:49:56.721
#Sample rate: 500Hz
#Samples: 4096

Time (s),Data,DV,MISO,MOSI,SCK
-2.104,1361,1,1,0,1
-2.102,1373,1,1,0,1
-2.1,1410,1,1,0,1
-2.098,1466,1,1,0,1
-2.096,1534,1,1,0,1
-2.094,1597,1,1,0,1
-2.092,1637,1,1,0,1
-2.09,1651,1,1,0,1
-2.088,1649,1,1,0,1
-2.086,1652,1,1,0,1
-2.084,1675,1,1,0,1
-2.082,1718,1,1,0,1
-2.08,1771,1,1,0,1
-2.078,1814,1,1,0,1
-2.076,1835,1,1,0,1
-2.074,1827,1,1,0,1
-2.072,1797,1,1,0,1
-2.07,1764,1,1,0,1
-2.068,1748,1,1,0,1
-2.066,1755,1,1,0,1
-2.064,1779,1,1,0,1
-2.062,1811,1,1,0,1
-2.06,1835,1,1,0,1
-2.058,1845,1,1,0,1
-2.056,1841,1,1,0,1
-2.054,1830,1,1,0,1
-2.052,1835,1,1,0,1
-2.05,1867,1,1,0,1
-2.048,1917,1,1,0,1
-2.046,1974,1,1,0,1
-2.044,2015,1,1,0,1
-2.042,2031,1,1,0,1
-2.04,2020,1,1,0,1
-2.038,1988,1,1,0,1
-2.036,1955,1,1,0,1
-2.034,1937,1,1,0,1
-2.032,1939,1,1,0,1
-2.03,1949,1,1,0,1
-2.028,1946,1,1,0,1
-2.026,1917,1,1,0,1
-2.024,1861,1,1,0,1
-2.022,1781,1,1,0,1
-2.02,1701,1,1,0,1
-2.018,1637,1,1,0,1
-2.016,1597,1,1,0,1
-2.014,1578,1,1,0,1
-2.012,1569,1,1,0,1
-2.01,1551,1,1,0,1
-2.008,1515,1,1,0,1
-2.006,1465,1,1,0,1
-2.004,1411,1,1,0,1
-2.002,1373,1,1,0,1
-2,1361,1,1,0,1
-1.998,1372,1,1,0,1
-1.996,1397,1,1,0,1
-1.994,1416,1,1,0,1
-1.992,1417,1,1,0,1
-1.99,1395,1,1,0,1
-1.988,1366,1,1,0,1
-1.986,1350,1,1,0,1
-1.984,1361,1,1,0,1
-1.982,1395,1,1,0,1
-1.98,1442,1,1,0,1
-1.978,1485,1,1,0,1
-1.976,1510,1,1,0,1
-1.974,1514,1,1,0,1
-1.972,1502,1,1,0,1
-1.97,1492,1,1,0,1
-1.968,1493,1,1,0,1
-1.966,1511,1,1,0,1
-1.964,1542,1,1,0,1
-1.962,1569,1,1,0,1
-1.96,1590,1,1,0,1
-1.958,1610,1,1,0,1
-1.956,1638,1,1,0,1
-1.954,1698,1,1,0,1
-1.952,1819,1,1,0,1
-1.95,2017,1,1,0,1
-1.948,2294,1,1,0,1
-1.946,2644,1,1,0,1
-1.944,3037,1,1,0,1
-1.942,3439,1,1,0,1
-1.94,3811,1,1,0,1
-1.938,4041,1,1,0,1
-1.936,4061,1,1,0,1
-1.934,4061,1,1,0,1
-1.932,4061,1,1,0,1
-1.93,4015,1,1,0,1
-1.928,3846,1,1,0,1
-1.926,3557,1,1,0,1
-1.924,3145,1,1,0,1
-1.922,2595,1,1,0,1
-1.92,1914,1,1,0,1
-1.918,1165,1,1,0,1
-1.916,410,1,1,0,1
-1.914,25,1,1,0,1
-1.912,0,1,1,0,1
-1.91,0,1,1,0,1
-1.908,0,1,1,0,1
-1.906,0,1,1,0,1
-1.904,0,1,1,0,1
-1.902,0,1,1,0,1
-1.9,0,1,1,0,1
-1.898,0,1,1,0,1
-1.896,0,1,1,0,1
-1.894,0,1,1,0,1
-1.892,0,1,1,0,1
-1.89,0,1,1,0,1
-1.888,0,1,1,0,1
-1.886,0,1,1,0,1
-1.884,0,1,1,0,1
-1.882,0,1,1,0,1
-1.88,0,1,1,0,1
-1.878,47,1,1,0,1
-1.876,186,1,1,0,1
-1.874,369,1,1,0,1
-1.872,573,1,1,0,1
-1.87,796,1,1,0,1
-1.868,1046,1,1,0,1
-1.866,1317,1,1,0,1
-1.864,1594,1,1,0,1
-1.862,1863,1,1,0,1
-1.86,2101,1,1,0,1
-1.858,2297,1,1,0,1
-1.856,2450,1,1,0,1
-1.854,2578,1,1,0,1
-1.852,2698,1,1,0,1
-1.85,2821,1,1,0,1
-1.848,2947,1,1,0,1
-1.846,3063,1,1,0,1
-1.844,3161,1,1,0,1
-1.842,3222,1,1,0,1
-1.84,3246,1,1,0,1
-1.838,3250,1,1,0,1
-1.836,3251,1,1,0,1
-1.834,3267,1,1,0,1
-1.832,3295,1,1,0,1
-1.83,3334,1,1,0,1
-1.828,3358,1,1,0,1
-1.826,3363,1,1,0,1
-1.824,3341,1,1,0,1
-1.822,3299,1,1,0,1
-1.82,3255,1,1,0,1
-1.818,3227,1,1,0,1
-1.816,3221,1,1,0,1
-1.814,3234,1,1,0,1
-1.812,3246,1,1,0,1
-1.81,3245,1,1,0,1
-1.808,3220,1,1,0,1
-1.806,3173,1,1,0,1
-1.804,3119,1,1,0,1
-1.802,3084,1,1,0,1
-1.8,3069,1,1,0,1
-1.798,3082,1,1,0,1
-1.796,3103,1,1,0,1
-1.794,3119,1,1,0,1
-1.792,3117,1,1,0,1
-1.79,3091,1,1,0,1
-1.788,3053,1,1,0,1
-1.786,3027,1,1,0,1
-1.784,3022,1,1,0,1
-1.782,3043,1,1,0,1
-1.78,3082,1,1,0,1
-1.778,3117,1,1,0,1
-1.776,3138,1,1,0,1
-1.774,3133,1,1,0,1
-1.772,3116,1,1,0,1
-1.77,3100,1,1,0,1
-1.768,3103,1,1,0,1
-1.766,3131,1,1,0,1
-1.764,3177,1,1,0,1
-1.762,3226,1,1,0,1
-1.76,3266,1,1,0,1
-1.758,3286,1,1,0,1
-1.756,3289,1,1,0,1
-1.754,3287,1,1,0,1
-1.752,3303,1,1,0,1
-1.75,3343,1,1,0,1
-1.748,3406,1,1,0,1
-1.746,3477,1,1,0,1
-1.744,3539,1,1,0,1
-1.742,3579,1,1,0,1
-1.74,3602,1,1,0,1
-1.738,3611,1,1,0,1
-1.736,3631,1,1,0,1
-1.734,3671,1,1,0,1
-1.732,3735,1,1,0,1
-1.73,3811,1,1,0,1
-1.728,3882,1,1,0,1
-1.726,3933,1,1,0,1
-1.724,3956,1,1,0,1
-1.722,3957,1,1,0,1
-1.72,3951,1,1,0,1
-1.718,3965,1,1,0,1
-1.716,3999,1,1,0,1
-1.714,4043,1,1,0,1
-1.712,4059,1,1,0,1
-1.71,4061,1,1,0,1
-1.708,4061,1,1,0,1
-1.706,4045,1,1,0,1
-1.704,4003,1,1,0,1
-1.702,3962,1,1,0,1
-1.7,3939,1,1,0,1
-1.698,3927,1,1,0,1
-1.696,3917,1,1,0,1
-1.694,3889,1,1,0,1
-1.692,3830,1,1,0,1
-1.69,3741,1,1,0,1
-1.688,3631,1,1,0,1
-1.686,3517,1,1,0,1
-1.684,3415,1,1,0,1
-1.682,3331,1,1,0,1
-1.68,3251,1,1,0,1
-1.678,3163,1,1,0,1
-1.676,3053,1,1,0,1
-1.674,2919,1,1,0,1
-1.672,2766,1,1,0,1
-1.67,2614,1,1,0,1
-1.668,2481,1,1,0,1
-1.666,2373,1,1,0,1
-1.664,2281,1,1,0,1
-1.662,2193,1,1,0,1
-1.66,2092,1,1,0,1
-1.658,1969,1,1,0,1
-1.656,1831,1,1,0,1
-1.654,1689,1,1,0,1
-1.652,1565,1,1,0,1
-1.65,1467,1,1,0,1
-1.648,1393,1,1,0,1
-1.646,1333,1,1,0,1
-1.644,1271,1,1,0,1
-1.642,1196,1,1,0,1
-1.64,1102,1,1,0,1
-1.638,1004,1,1,0,1
-1.636,919,1,1,0,1
-1.634,859,1,1,0,1
-1.632,825,1,1,0,1
-1.63,807,1,1,0,1
-1.628,791,1,1,0,1
-1.626,764,1,1,0,1
